Fighter,Gym Location,Latitude,Longitude
Alexandre Pantoja,American Top Team,41.401486,-73.431107
Brandon Royval,Factory X,36.239573,36.177717
Brandon Moreno,Fortis MMA,-25.837608,25.609612
Amir Albazi,Xtreme Couture Mixed Martial Arts,36.071495,-115.19367
Kai Kara-France,City Kickboxing,-36.865604,174.75294
Tatsuro Taira,The Blackbelt Japan,37.791855999999996,-122.40127899999999
Steve Erceg,Wilkes MMA,2.812907,101.797394
Matheus Nicolau,Jackson's MMA  Yee MMA,38.437274,27.142704
Manel Kape,AKA Thailand,13.856374,100.542182
Tim Elliott,Next Generation MMA,-36.853851,174.773006
Matt Schnell,American Kickboxing Academy,37.264671,-121.917046
Tagir Ulanbekov,Eagles MMA  SC Bazarganova,33.679326,-78.898624
Cody Durden,American Top Team Atlanta,33.8122355,-84.3585525
Merab Dvalishvili,Serra-Longo Fight Team,-20.124681,-40.306965
Cory Sandhagen,Forge Fight Club,59.9201375,10.752899
Petr Yan,Tiger Muay Thai  Archangel Michael Fight Club  American Top Team,41.401486,-73.431107
Marlon Vera,RVCA Training Center,46.834669,1.617125
Henry Cejudo,Fight Ready,28.547344,-81.343407
Deiveson Figueiredo,Chute Boxe Diego Lima,2.1360907,33.0824497
Song Yadong,Team Alpha Male,2.182126,102.26126
José Aldo,Nova UniãoRuas Vale Tudo,35.540546,-81.39873
Rob Font,New England Cartel  Team Sityodtong Boston,53.904108,-1.349925
Umar Nurmagomedov,Eagles MMAAmerican Kickboxing Academy,43.691221,-116.338073
Kyler Phillips,MMA Lab,46.775093,6.28015
Mario Bautista,MMA Lab,46.775093,6.28015
Dominick Cruz,Alliance MMA,32.630035,-117.091345
Jonathan Martinez,MTZ Fight Club,44.416004,8.715549
Montel Jackson,Pura Vida BJJ/MMA,47.587067,7.566089
Ilia Topuria,Climent Club,39.745789,-84.182858
Alexander Volkanovski,City Kickboxing  Tiger Muay ThaiBangtao Muay Thai & MMA  Freestyle Fighting Gym,51.516174,7.463425
Max Holloway,Gracie Technics,42.565628,-76.2491
Brian Ortega,Huntington Beach Ultimate Training Center,40.895817,-73.38348
Yair Rodriguez,Kings MMAValle Flow Striking (former),40.690319,-73.989325
Arnold Allen,"BKK Fighters, UK  Tristar Gym",51.508545,-0.141424
Josh Emmett,Team Alpha Male,2.182126,102.26126
Aljamain Sterling,Serra-Longo Fight Team,-20.124681,-40.306965
Calvin Kattar,Lauzon MMAHard Knocks Boston617 Fight SportsTeam Sityodtong,51.68793,-8.942394
Giga Chikadze,Kings MMA,33.7161,-117.999588
Lerone Murphy,Manchester Top Team,53.488099,-2.244075
Bryce Mitchell,Barata,-7.293751,112.759965
Dan Ige,Xtreme Couture MMA  American Kickboxing Academy,39.466002,-76.82665
Edson Barboza,Ricardo Almeida BJJAmerican Top Team,-23.562981,-46.668756
Islam Makhachev,American Kickboxing Academy  Fight Spirit Team  Gadzhi Makhachev freestyle wrestling club  Old School Fighters  KHK MMA Team Eagles MMA,42.116748,-80.05672
Arman Tsarukyan,Lion Heart  American Top Team,36.323463,-91.71478
Charles Oliveira,),,
Justin Gaethje,Genesis Training CenterElevation Fight Team,36.141348,-86.816379
Dustin Poirier,American Top Team,41.401486,-73.431107
Mateusz Gamrot,American Top Team,41.401486,-73.431107
Michael Chandler,Nashville MMA,36.273778,-86.69208
Beneil Dariush,Kings MMA,33.7161,-117.999588
Rafael Fiziev,Kill Cliff FC,-36.927555,-73.030244
Renato Moicano,Constrictor Team  American Top Team,25.977026,-80.308212
Dan Hooker,"City Kickboxing
Saigon Sports Club",10.739537,106.728993
Jalin Turner,RVCA Training Center,46.834669,1.617125
Rafael Dos Anjos,Nova União,-19.689968,-43.57897
Paddy Pimblett,Next Generation MMA Liverpool,53.404991,-2.984741
Belal Muhammad,Valle Flow Striking,38.703764,-9.186834
Leon Edwards,American Kickboxing Academy (2015),42.29696,-83.26431
Kamaru Usman,"Kill Cliff FC (2017–2020, 2022–present)",9.0643305,7.4892974
Shavkat Rakhmonov,DAR Pro Team Kill Cliff FC,9.0643305,7.4892974
Colby Covington,American Top Team (2011–2020),37.9972655,-87.5819795238095
Jack Della Maddalena,Scrappy MMA,-25.837608,25.609612
Gilbert Burns,Kill Cliff FC,-36.927555,-73.030244
Ian Machado Garry,Chute Boxe Diego Lima,2.1360907,33.0824497
Geoff Neal,Fortis MMA,-25.837608,25.609612
Joaquin Buckley,Murcielago MMA,2.812907,101.797394
Neil Magny,Easton Training Center,40.017101,-105.252448
Vicente Luque,Kill Cliff FC,-36.927555,-73.030244
Michael Page,London Shootfighters,51.526925,-0.28039
Kevin Holland,Phalanx MMA AcademyTravis Lutter BJJ,47.994796,0.190494
Dricus Du Plessis,Team CIT MMA,32.647163,-97.111731
Sean Strickland,Xtreme Couture (present),43.624799,-79.528626
Israel Adesanya,City Kickboxing,-36.865604,174.75294
Nassourdine Imavov,MMA Factory (until 2023),46.997545,28.899235
Jared Cannonier,Legacy Jiu Jitsu Alaska  MMA Lab,56.30395,-133.61786
Marvin Vettori,American Top Team,41.401486,-73.431107
Brendan Allen,Kill Cliff FC,-36.927555,-73.030244
Paulo Costa,Team Nogueira Champion Team Clube Atlético Mineiro  Fight Ready,-19.927341,-43.946729
Jack Hermansson,Frontline Academy,39.956826,-75.1714785
Roman Dolidze,American Kickboxing Academy Xtreme Couture MMA,37.264671,-121.917046
Khamzat Chimaev,Fight Club Akhmat,44.416004,8.715549
Caio Borralho,Fighting Nerds,9.140055,99.34561
Michel Pereira,Xtreme Couture,36.071495,-115.19367
Anthony Hernandez,Marinoble's Martial Arts,35.170579,-80.806639
Alex Pereira,Teixeira MMA & Fitness,41.416771999999995,-73.390839
Jiří Procházka,Xtreme Couture,36.071495,-115.19367
Magomed Ankalaev,Fight Club Akhmat,44.416004,8.715549
Jamahal Hill,Black Lion Brazilian Jiu-Jitsu,-10.463485,-40.181874
Jan Błachowicz,"Berkut WCA Fight Team (until 2014, 2017–present)",56.742188,66.05388
Aleksandar Rakić,Gym 23  American Top Team,32.733537,-97.409391
Nikita Krylov,Vale Tudo MMA Academy  YK Promotion  Fight Club number one (formerly),46.211961,6.144775
Volkan Oezdemir,Allstars Training Center,59.34866,18.048948
Khalil Rountree Jr.,Syndicate MMA (present),36.057018,-115.244765
Carlos Ulberg,City Kickboxing,-36.865604,174.75294
Bogdan Guskov,GOR MMA  American Top Team,25.977026,-80.308212
Dominick Reyes,Joe Stevensons Cobra Kai,34.472549,-117.340304
Azamat Murzakanov,K-Dojo Warrior Tribe,50.982506,7.009035
Alonzo Menifield,Saekson's Muay Thai,18.788366,98.99368
Jon Jones,Fight Ready,28.547344,-81.343407
Tom Aspinall,Aspinall BJJ,1.301122,103.849886
Ciryl Gane,MMA Factory,45.55401,8.07721
Sergei Pavlovich,Eagles MMA Moscow,43.707807,-116.438983
Curtis Blaydes,Elevation Fight Team,50.836905,-1.17521
Stipe Miocic,Strong Style Fight Team,34.409493,135.32037
Jailton Almeida,LG System,44.14688,12.45926
Marcin Tybura,Ankos MMA,43.192745,-0.611338
Serghei Spivac,MIR Production,48.903904,2.361993
Tai Tuivasa,TK MMA & Fitness,25.089844,55.153124
Derrick Lewis,4oz Fight Club,44.416004,8.715549
Jairzinho Rozenstruik,American Top Team,41.401486,-73.431107
Marcos Rogerio de Lima,011 MMA Team American Top Team,25.977026,-80.308212
Rodrigo Nascimento,American Top Team,41.401486,-73.431107
Alexa Grasso,Lobo Gym,29.57571,-95.11011
