Division,Rank,Fighter,Gym,City,Country,Latitude,Longitude
Heavyweight,C,Tom Aspinall,Team Kaobon,Liverpool,England,53.4024,-2.9383
Heavyweight,1,Ciryl Gane,MMA Factory,Rungis,France,48.7465,2.3508
Heavyweight,2,Alexander Volkov,Strela Team,Moscow,Russia,55.7558,37.6173
Heavyweight,3,Sergei Pavlovich,Eagles MMA,Moscow,Russia,55.7558,37.6173
Heavyweight,4,Curtis Blaydes,Elevation Fight Team,Denver,USA,39.7392,-104.9903
Heavyweight,5,Waldo Cortes-Acosta,UKF Gym,Phoenix,USA,33.4484,-112.0740
Heavyweight,6,Serghei Spivac,Polar Bear Team,Chisinau,Moldova,47.0105,28.8638
Heavyweight,7,Rizvan Kuniev,Gorets Fight Club,Makhachkala,Russia,42.9849,47.5047
Heavyweight,8,Marcin Tybura,WCA Fight Team,Lodz,Poland,51.7592,19.4560
Heavyweight,8,Derrick Lewis,Hewlett MMA,Houston,USA,29.7604,-95.3698
Heavyweight,10,Ante Delija,ATT Croatia,Zagreb,Croatia,45.8150,15.9819
Light Heavyweight,C,Alex Pereira,Glover Teixeira MMA,Danbury,USA,41.3948,-73.4540
Light Heavyweight,1,Magomed Ankalaev,Eagles MMA,Makhachkala,Russia,42.9849,47.5047
Light Heavyweight,2,Jiri Prochazka,Jetsaam Gym,Brno,Czech Republic,49.1951,16.6068
Light Heavyweight,3,Carlos Ulberg,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633
Light Heavyweight,4,Khalil Rountree Jr.,Xtreme Couture,Las Vegas,USA,36.1699,-115.1398
Light Heavyweight,5,Jan Blachowicz,WCA Fight Team,Warsaw,Poland,52.2297,21.0122
Light Heavyweight,6,Azamat Murzakanov,Eagles MMA,Nalchik,Russia,43.4846,43.6072
Light Heavyweight,7,Jamahal Hill,Hard Knocks 365,Fort Lauderdale,USA,26.1224,-80.1373
Light Heavyweight,8,Volkan Oezdemir,MMA Factory,Rungis,France,48.7465,2.3508
Light Heavyweight,9,Bogdan Guskov,Strela Team,Moscow,Russia,55.7558,37.6173
Light Heavyweight,10,Dominick Reyes,Power MMA,Gilbert,USA,33.3528,-111.7890
Middleweight,C,Khamzat Chimaev,Allstars Training Center,Stockholm,Sweden,59.3293,18.0686
Middleweight,1,Dricus du Plessis,CIT Performance,Pretoria,South Africa,-25.7479,28.2293
Middleweight,2,Nassourdine Imavov,MMA Factory,Rungis,France,48.7465,2.3508
Middleweight,3,Sean Strickland,Xtreme Couture,Las Vegas,USA,36.1699,-115.1398
Middleweight,4,Brendan Allen,Roufusport,Milwaukee,USA,43.0389,-87.9065
Middleweight,5,Israel Adesanya,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633
