Division,Rank,Fighter,Gym,City,Country,Latitude,Longitude,Nationality
Flyweight,C,Joshua Van,Team Oyama,Las Vegas,USA,36.1147,-115.1728,Myanmar
Flyweight,1,Alexandre Pantoja,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Flyweight,2,Manel Kape,AKA (American Kickboxing Academy),San Jose,USA,37.3382,-121.8863,Portugal
Flyweight,3,Tatsuro Taira,The Paraestra Okinawa,Naha,Japan,26.2124,127.6792,Japan
Flyweight,4,Brandon Royval,Factory X,Englewood,USA,39.6478,-104.9878,USA
Flyweight,5,Kyoji Horiguchi,American Top Team,Coconut Creek,USA,26.2806,-80.183,Japan
Flyweight,6,Lone’er Kavanagh,Team Oyama,Las Vegas,USA,36.1147,-115.1728,USA
Flyweight,7,Amir Albazi,Las Vegas Combat Club,Las Vegas,USA,36.1147,-115.1728,Iraq
Flyweight,8,Asu Almabayev,Erkin Kush,Almaty,Kazakhstan,43.2389,76.8897,Kazakhstan
Flyweight,9,Brandon Moreno,Entram Gym,Tijuana,Mexico,32.5149,-117.0382,Mexico
Flyweight,10,Alex Perez,Team Oyama,Las Vegas,USA,36.1147,-115.1728,USA
Bantamweight,C,Petr Yan,Fairtex Training Center,Pattaya,Thailand,12.9276,100.8775,Russia
Bantamweight,1,Merab Dvalishvili,Serra-Longo Fight Team,Huntington,USA,40.8682,-73.4257,Georgia
Bantamweight,2,Umar Nurmagomedov,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Bantamweight,2,Sean O'Malley,MMA Lab,Glendale,USA,33.5387,-112.1859,USA
Bantamweight,4,Cory Sandhagen,Elevation Fight Team,Aurora,USA,39.7294,-104.8319,USA
Bantamweight,5,Song Yadong,Team Alpha Male,Sacramento,USA,38.5816,-121.4944,China
Bantamweight,6,Aiemann Zahabi,Tristar Gym,Montreal,Canada,45.5017,-73.5673,Canada
Bantamweight,7,Deiveson Figueiredo,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Bantamweight,8,Mario Bautista,MMA Lab,Glendale,USA,33.5387,-112.1859,USA
Bantamweight,9,David Martinez,Team Alpha Male,Sacramento,USA,38.5816,-121.4944,Mexico
Bantamweight,10,Marlon Vera,Team Oyama,Las Vegas,USA,36.1147,-115.1728,Ecuador
Featherweight,C,Alexander Volkanovski,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633,Australia
Featherweight,1,Movsar Evloev,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Featherweight,2,Diego Lopes,Team Oyama,Las Vegas,USA,36.1147,-115.1728,Brazil
Featherweight,3,Lerone Murphy,Manchester Top Team,Manchester,United Kingdom,53.4808,-2.2426,United Kingdom
Featherweight,4,Yair Rodriguez,Valle Flow Striking,Chicago,USA,41.8781,-87.6298,Mexico
Featherweight,5,Aljamain Sterling,Serra-Longo Fight Team,Huntington,USA,40.8682,-73.4257,USA
Featherweight,6,Jean Silva,Fighting Nerds,Sao Paulo,Brazil,-23.5505,-46.6333,Brazil
Featherweight,7,Youssef Zalal,Factory X,Englewood,USA,39.6478,-104.9878,Morocco
Featherweight,8,Arnold Allen,Lions Pride MMA,Ipswich,United Kingdom,52.0567,1.1482,United Kingdom
Featherweight,9,Steve Garcia,Greg Jackson MMA,Albuquerque,USA,35.0844,-106.6504,USA
Featherweight,10,Kevin Vallejos,Team Alpha Male,Sacramento,USA,38.5816,-121.4944,Argentina
Lightweight,C,Ilia Topuria,Climent Club,Alicante,Spain,38.3452,-0.4907,Georgia
Lightweight,1,Justin Gaethje,ONX Labs,Phoenix,USA,33.4484,-112.074,USA
Lightweight,2,Arman Tsarukyan,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Armenia
Lightweight,3,Charles Oliveira,Chute Boxe Diego Lima,Sao Paulo,Brazil,-23.5505,-46.6333,Brazil
Lightweight,4,Max Holloway,Gracie Technics,Honolulu,USA,21.3069,-157.8583,USA
Lightweight,5,Benoît Saint Denis,Venum Training Camp,Paris,France,48.8566,2.3522,France
Lightweight,6,Paddy Pimblett,Next Generation MMA,Liverpool,United Kingdom,53.4084,-2.9916,United Kingdom
