Name,Gym,Weight,Rank,latitude,longitude
Tatsuro Taira,24,Flyweight,5,1,1
Loopy Godinez,30,Women's Strawweight,10,10.077764,-69.321993
Norma Dumont,33,Women's Bantamweight,10,25.784059,-80.131015
Jon Jones,35,Heavyweight,Champion,33.209826,-87.568225
Julia Avila,36,Women's Bantamweight,13,-1.617179,103.592364
Khamzat Chimaev,74,Middleweight,11,13.548154,100.276836
Michael Page,75,Welterweight,14,-33.423581,-70.612449
Marcos Rogerio de Lima,011 MMA TEAM,Heavyweight,14,-23.572591,-46.642291
Derrick Lewis,4oz Fight Club,Heavyweight,11,29.95585439,-95.58599864
Jared Cannonier,ABJJ + Gracie Barra Alaska,Middleweight,5,61.17476197,-149.8905958
Lerone Murphy,All Powers Gym,Featherweight,11,53.39571722,-2.150892964
Dominick Cruz,Alliance Training Center,Bantamweight,13,32.847002,-116.962258
Volkan Oezdemir,Allstars Training Center,Light Heavyweight,7,59.34866,18.048948
Islam Makhachev,American Kickboxing Academy,Lightweight,Champion,37.264671,-121.917046
Alexandre Pantoja,American Top Team,Flyweight,Champion,26.72796852,-80.21597394
Cody Durden,American Top Team,Flyweight,15,26.72796852,-80.21597394
Jairzinho Rozenstruik,American Top Team,Heavyweight,12,26.72796852,-80.21597394
Rodrigo Nascimento,American Top Team,Heavyweight,15,26.72796852,-80.21597394
Dustin Poirier,American Top Team,Lightweight,4,26.72796852,-80.21597394
Mateusz Gamrot,American Top Team,Lightweight,5,26.72796852,-80.21597394
Renato Moicano,American Top Team,Lightweight,10,26.72796852,-80.21597394
Yana Santos,American Top Team,Women's Bantamweight,12,26.72796852,-80.21597394
Aleksandar Rakić,American Top Team,Light Heavyweight,5,26.72796852,-80.21597394
Arnold Allen,BKK / Tristar,Featherweight,5,13.68970625,100.7502555
Vicente Luque,"Blackzilians - Boca Raton, FL",Welterweight,13,26.3709205,-80.102879
Matt Schnell,Boxing,Flyweight,11,1,1
Jailton Almeida,Boxing,Heavyweight,7,1,1
Ilia Topuria,Brazilian Jiu-Jitsu,Featherweight,Champion,1,1
Sean Brady,Brazilian Jiu-Jitsu,Welterweight,8,1,1
Charles Oliveira,Bronx's Gold Team,Lightweight,2,-23.96671284,-46.28054161
Yan Xiaonan,China Top Team Beijing,Women's Strawweight,2,39.906217,116.3912757
Kai Kara-France,City Kickboxing,Flyweight,4,-36.865604,174.75294
Carlos Ulberg,City Kickboxing,Light Heavyweight,10,-36.865604,174.75294
Israel Adesanya,City Kickboxing,Middleweight,2,-36.865604,174.75294
